更新时间,#genre#
2024-11-07 21:56:09,url
新闻综合,http://139.196.151.191:8963/rtp/239.45.3.209:5140$上海电信组播源
东方卫视,http://114.243.103.165:8822/rtp/239.3.1.136:8032$组播源|1920x1080
东方卫视,http://139.196.151.191:8963/rtp/239.45.3.146:5140$上海电信组播源
东方卫视,http://122.9.151.210:887/rtp/238.255.2.98:5999$组播源
东方卫视,http://116.128.242.83:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
东方卫视,http://118.251.60.185:8888/udp/239.76.253.186:9000$订阅源|1920x1080
东方卫视,http://211.101.247.19:6699/api/migu.php?type=hls&url=dfws$订阅源|1920x1080
东方卫视,http://222.134.245.16:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源|1920x1080
都市频道,http://139.196.151.191:8963/rtp/239.45.3.236:5140$上海电信组播源
纪实人文,http://139.196.151.191:8963/rtp/239.45.3.212:5140$上海电信组播源
东方影视,http://139.196.151.191:8963/rtp/239.45.3.237:5140$上海电信组播源
第一财经,http://139.196.151.191:8963/rtp/239.45.3.211:5140$上海电信组播源
第一财经,http://111.31.22.3/cache.ott.fifalive.itv.cmvideo.cn/000000001000/5000000010000027146/1.m3u8?channel-id=bestzb&Contentid=5000000010000027146&livemode=1&stbId=3$订阅源
五星体育,http://139.196.151.191:8963/rtp/239.45.3.210:5140$上海电信组播源
五星体育,http://139.196.151.191:3648/rtp/239.45.3.210:5140$组播源
五星体育,http://139.196.151.191:6664/rtp/239.45.3.210:5140$组播源
五星体育,http://111.31.22.3/cache.ott.fifalive.itv.cmvideo.cn/000000001000/2000000002000000007/1.m3u8?channel-id=hnbblive&Contentid=2000000002000000007&livemode=1&stbId=3$订阅源
五星体育,http://gslbservzqhsw.itv.cmvideo.cn/5000000010000017540/1.m3u8?channel-id=bestzb&Contentid=5000000010000017540&livemode=1&stbId=3$订阅源
哈哈炫动,http://139.196.151.191:8963/rtp/239.45.1.55:5140$上海电信组播源
哈哈炫动,http://hsv4dcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_XUANDONG/G_XUANDONG.m3u8?p=GITV&area=GD_CUCC&$订阅源
哈哈炫动,http://111.31.22.3/cache.ott.fifalive.itv.cmvideo.cn/000000001000/5000000005000031641/1.m3u8?channel-id=bestzb&Contentid=5000000005000031641&livemode=1&stbId=3$订阅源
哈哈炫动,http://60.12.183.46:9901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
